Barista,Patron,Enter,Cost,Exit,Line,Final Cost
0,1,1,3,4,queue,3
0,2,2,3,7,queue,5
0,3,3,3,10,queue,7
0,4,4,3,13,queue,9
0,5,5,3,16,queue,11
0,6,5,3,19,queue,14
0,7,6,3,22,queue,16
0,8,8,3,25,queue,17
0,9,8,3,28,queue,20
0,10,9,3,31,queue,22
0,11,10,3,34,queue,24
0,12,11,3,37,queue,26
0,13,12,3,40,queue,28
0,14,13,3,43,queue,30
0,15,14,3,46,queue,32
0,16,15,3,49,queue,34
0,17,16,3,52,queue,36
0,18,17,3,55,queue,38
0,19,18,3,58,queue,40
0,20,18,3,61,queue,43
0,21,20,3,64,queue,44
0,22,20,3,67,queue,47
0,23,21,3,70,queue,49
0,24,22,3,73,queue,51
0,25,23,3,76,queue,53
0,26,24,3,79,queue,55
0,27,25,3,82,queue,57
0,28,26,3,85,queue,59
0,29,27,3,88,queue,61
0,30,28,3,91,queue,63
0,31,29,3,94,queue,65
0,32,30,3,97,queue,67
0,33,31,3,100,queue,69
0,34,32,3,103,queue,71
0,35,32,3,106,queue,74
0,36,33,3,109,queue,76
0,37,35,3,112,queue,77
0,38,35,3,115,queue,80
0,39,36,3,118,queue,82
0,40,37,3,121,queue,84
0,41,38,3,124,queue,86
0,42,39,3,127,queue,88
0,43,40,3,130,queue,90
0,44,41,3,133,queue,92
0,45,42,3,136,queue,94
0,46,43,3,139,queue,96
0,47,44,3,142,queue,98
0,48,45,3,145,queue,100
0,49,45,3,148,queue,103
0,50,47,3,151,queue,104
0,51,47,3,154,queue,107
0,52,48,3,157,queue,109
0,53,49,3,160,queue,111
0,54,50,3,163,queue,113
0,55,51,3,166,queue,115
0,56,52,3,169,queue,117
0,57,53,3,172,queue,119
0,58,54,3,175,queue,121
0,59,55,3,178,queue,123
0,60,56,3,181,queue,125
0,61,57,3,184,queue,127
0,62,58,3,187,queue,129
0,63,59,3,190,queue,131
0,64,59,3,193,queue,134
0,65,60,3,196,queue,136
0,66,62,3,199,queue,137
0,67,62,3,202,queue,140
0,68,63,3,205,queue,142
0,69,64,3,208,queue,144
0,70,65,3,211,queue,146
