Barista,Patron,Enter,Cost,Exit,Line,Final Cost
0,1,1,3,4,line,3
0,2,2,3.3000000000000003,8,queue,6
0,3,3,3,11,queue,8
0,4,3,3.3000000000000003,15,queue,12
0,5,4,3,18,queue,14
0,6,4,3.3000000000000003,22,queue,18
0,7,5,3,25,queue,20
0,8,5,3.3000000000000003,29,queue,24
0,9,6,3.3000000000000003,33,queue,27
0,10,7,3,36,queue,29
0,11,7,3.3000000000000003,40,queue,33
0,12,8,3,43,queue,35
0,13,9,3,46,queue,37
0,14,9,3.3000000000000003,50,queue,41
0,15,10,3.3000000000000003,54,queue,44
0,16,11,3,57,queue,46
0,17,11,3.3000000000000003,61,queue,50
0,18,12,3.3000000000000003,65,queue,53
0,19,13,3,68,queue,55
0,20,13,3.3000000000000003,72,queue,59
0,21,14,3,75,queue,61
0,22,14,3.3000000000000003,79,queue,65
0,23,15,3,82,queue,67
0,24,16,3,85,queue,69
0,25,16,3.3000000000000003,89,queue,73
0,26,17,3.3000000000000003,93,queue,76
0,27,18,3,96,queue,78
0,28,18,3.3000000000000003,100,queue,82
0,29,19,3.3000000000000003,104,queue,85
0,30,20,3,107,queue,87
0,31,20,3.3000000000000003,111,queue,91
0,32,21,3,114,queue,93
0,33,21,3.3000000000000003,118,queue,97
0,34,22,3.3000000000000003,122,queue,100
0,35,23,3,125,queue,102
0,36,23,3.3000000000000003,129,queue,106
0,37,24,3.3000000000000003,133,queue,109
0,38,25,3,136,queue,111
0,39,25,3.3000000000000003,140,queue,115
0,40,26,3.3000000000000003,144,queue,118
0,41,27,3,147,queue,120
0,42,27,3.3000000000000003,151,queue,124
0,43,28,3,154,queue,126
0,44,28,3.3000000000000003,158,queue,130
0,45,29,3.3000000000000003,162,queue,133
0,46,30,3,165,queue,135
0,47,30,3.3000000000000003,169,queue,139
0,48,31,3.3000000000000003,173,queue,142
0,49,32,3.3000000000000003,177,queue,145
0,50,33,3,180,queue,147
0,51,33,3.3000000000000003,184,queue,151
0,52,34,3,187,queue,153
0,53,34,3.3000000000000003,191,queue,157
0,54,35,3.3000000000000003,195,queue,160
0,55,36,3,198,queue,162
0,56,36,3.3000000000000003,202,queue,166
0,57,37,3,205,queue,168
0,58,37,3.3000000000000003,209,queue,172
