Barista,Patron,Enter,Cost,Exit,Line,Final Cost
0,1,0,3,4,queue,4
0,2,0,3,7,queue,7
0,3,0,3,10,queue,10
0,4,1,3,13,queue,12
0,5,2,3,16,queue,14
1,6,0,3,4,queue,4
1,7,0,3,7,queue,7
1,8,0,3,10,queue,10
1,9,2,3,13,queue,11
1,10,3,3,16,queue,13
2,11,0,3,4,queue,4
2,12,0,3,7,queue,7
2,13,1,3,10,queue,9
2,14,2,3,13,queue,11
2,15,3,3,16,queue,13
3,16,0,3,4,queue,4
3,17,0,3,7,queue,7
3,18,1,3,10,queue,9
3,19,2,3,13,queue,11
3,20,3,3,16,queue,13
4,21,0,3,4,queue,4
4,22,0,3,7,queue,7
4,23,1,3,10,queue,9
4,24,2,3,13,queue,11
4,25,3,3,16,queue,13
5,26,0,3,4,line,4
5,27,0,3,7,line,7
5,28,1,3,10,line,9
5,29,2,3,13,line,11
5,30,3,3,16,line,13
6,31,0,3,4,line,4
6,32,0,3,7,line,7
6,33,1,3,10,line,9
6,34,2,3,13,line,11
6,35,3,3,16,line,13
7,36,0,3,4,line,4
7,37,1,3,7,line,6
7,38,1,3,10,line,9
7,39,2,3,13,line,11
7,40,3,3,16,queue,13
8,41,0,3,4,line,4
8,42,1,3,7,line,6
8,43,2,3,10,line,8
8,44,3,3,13,line,10
8,45,3,3,16,queue,13
9,46,0,3,4,line,4
9,47,1,3,7,line,6
9,48,2,3,10,line,8
9,49,3,3,13,line,10
